GeneID,Phi
YHR026W,387.35
YHR028C,68.7
YHR029C,115.1
YHR030C,50.849999999999994
YHR031C,9.85
YHR033W,1.5
YHR037W,92
YHR039C,111
YHR041C,17.1
YHR045W,38.4
YHR046C,53.2
YHR049W,209.4
YHR050W,48.95
YHR063C,153.8
YHR065C,64.15
YHR067W,14.45
YHR070W,28.95
YHR071W,38.95
YHR073W,25.65
YHR076W,61.4
YHR081W,82
YHR083W,45.2
YHR086W,27.700000000000003
YHR091C,11.8
YHR097C,16.65
YHR099W,34.95
YHR100C,39.2
YHR101C,23.1
YHR104W,127.85
YHR105W,14.1
YHR106W,13
YHR109W,16.95
YHR110W,72.35
YHR113W,66.2
YHR114W,43.3
YHR119W,12.5
YHR120W,9.9
YHR121W,120.75
YHR122W,58.7
YHR123W,97.6
YHR127W,40.25
YHR132C,137.8
YHR137W,22.45
YHR142W,72.8
YHR144C,43.3
YHR147C,94.1
YHR148W,78.15
YHR151C,12.55
YHR152W,75.15
YHR153C,9.45
YHR157W,1.75
YHR159W,9.85
YHR160C,0.6499999999999999
YHR165C,24.85
YHR166C,14
YHR169W,39.55
YHR170W,115.85
YHR171W,13.5
YHR172W,18.549999999999997
YHR176W,5.05
YHR177W,1.4
YHR179W,1172.9499999999998
YHR181W,149.05
YHR182W,9.4
YHR183W,835.7
YHR185C,0.95
YHR186C,20.45
YHR187W,42.8
YHR188C,77.80000000000001
YHR193C,1424.2
YHR194W,5.05
YHR195W,18.950000000000003
YHR197W,52.150000000000006
YHR198C,34.55
YHR200W,174.25
YHR202W,9.15
YHR208W,520.15
YHR209W,19.35
YIL164C,1.9
YIL160C,0.15000000000000002
YIL156W,21.05
YIL154C,24.05
YIL153W,22.25
YIL152W,13.8
YIL149C,22.35
YIL146C,5.949999999999999
YIL139C,9.65
YIL137C,63.75
YIL134W,10.9
YIL131C,35
YIL124W,159.15
YIL123W,505.5499999999999
YIL119C,27.200000000000003
YIL118W,143.35000000000002
YIL117C,64.15
YIL116W,86.80000000000001
YIL114C,57.45
YIL113W,7.199999999999999
YIL111W,73.1
YIL108W,38.45
YIL106W,48.45
YIL104C,25.4
YIL099W,0.5
YIL094C,284.65
YIL092W,5.95
YIL089W,3.8
YIL087C,29
YIL084C,20
YIL079C,25.700000000000003
YIL076W,320.7
YIL075C,238.6
YIL071C,9.55
YIL070C,182.8
YIL065C,56.35
YIL057C,1.1
YIL056W,24.7
YIL053W,2258.4
YIL049W,26.55
YIL038C,51.349999999999994
YIL037C,0.35
YIL035C,107.5
YIL034C,157.05
YIL023C,34.5
YIL022W,69.2
YIL020C,57.2
YIL019W,28.25
YIL017C,14.2
YIL014W,25.7
YIL007C,23
YIL001W,13.7
YIR003W,28.8
YIR004W,54.599999999999994
YIR006C,98.4
YIR008C,38.8
YIR011C,51.45
YIR019C,0.55
YIR022W,155.6
YIR027C,1.1
YIR028W,0.75
YIR032C,2.3
YIR035C,23.15
YIR037W,299
YJL216C,0.8
YJL213W,0.8
YJL210W,16.65
YJL209W,8.5
YJL208C,63.35
YJL207C,30.75
YJL203W,24.6
YJL200C,75.4
YJL193W,29.5
YJL187C,12.1
YJL186W,118.1
YJL185C,8.7
YJL180C,39.849999999999994
YJL178C,128.8
YJL174W,214.75
YJL171C,230.1
YJL168C,27.75
YJL167W,540.95
YJL162C,10.6
YJL161W,9.45
YJL160C,1.65
YJL157C,40.400000000000006
YJL156C,20.700000000000003
YJL155C,22.1
YJL154C,60.2
YJL153C,1.45
YJL147C,11.85
YJL145W,149.55
YJL143W,179.95
YJL137C,16.6
YJL131C,16.85
YJL130C,229.2
YJL126W,16.7
YJL125C,42.8
YJL124C,191.7
YJL122W,93.95
YJL118W,5.95
YJL116C,7.05
YJL112W,19.85
YJL109C,81.6
YJL108C,1.7
YJL106W,0.5
YJL105W,6.35
YJL100W,4.4
YJL097W,288.3
YJL096W,137.05
YJL090C,7
YJL089W,0.6000000000000001
YJL088W,12.55
YJL087C,24.6
YJL085W,26.299999999999997
YJL081C,54.95
YJL078C,63.9
YJL076W,56.35
YJL073W,23.4
YJL069C,48.9
YJL068C,98.45
YJL066C,47.85
YJL063C,69.85
YJL061W,55.2
YJL060W,101.95
YJL059W,24.5
YJL058C,9.5
YJL057C,12.2
YJL053W,46.25
YJL047C,12.55
YJL044C,38.15
YJL043W,0.15
YJL039C,59
YJL038C,1.05
YJL037W,1.15
YJL034W,817.85
YJL033W,43.2
YJL029C,23.05
YJL025W,5.85
YJL023C,7.65
YJL014W,252.3
YJL013C,31.4
YJL011C,49.75
YJL008C,297.79999999999995
YJL006C,34.4
YJL004C,74.9
YJL002C,286.5
YJR001W,68
YJR003C,33.05
YJR004C,1.95
YJR005W,46.2
YJR006W,30.35
YJR016C,620.95
YJR024C,69.80000000000001
YJR025C,59.15
YJR030C,27.85
YJR032W,55.3
YJR033C,19.15
YJR039W,5.65
YJR040W,39.8
YJR041C,39.9
YJR049C,38.7
YJR051W,65.7
YJR054W,15.65
YJR056C,23.950000000000003
YJR062C,23
YJR070C,272.7
YJR072C,105.45
YJR076C,98.2
YJR078W,2.8499999999999996
YJR084W,18.35
YJR088C,184.1
YJR089W,10.85
YJR092W,38.6
YJR094C,13.4
YJR095W,0.55
YJR096W,30.75
YJR099W,58.05
YJR100C,23.200000000000003
YJR101W,93.6
YJR102C,26.25
YJR103W,31.2
YJR105W,507.05
YJR106W,14.1
YJR107W,1.6
YJR109C,89.85
YJR111C,26.35
YJR113C,45.8
YJR115W,1.3
YJR117W,226.25
YJR122W,16.75
YJR123W,3532.85
YJR124C,43.55
YJR125C,117.55
YJR130C,14.55
YJR132W,48.599999999999994
YJR133W,82.35
YJR137C,18.1
YJR139C,909.25
YJR140C,20.05
YJR141W,13.8
YJR144W,81.05
YJR149W,1.95
YJR152W,0.6499999999999999
YJR153W,0.95
YJR154W,2
YKL221W,0.85
YKL218C,13.45
YKL216W,604.8
YKL215C,35.349999999999994
YKL214C,71.55
YKL211C,123.85
YKL208W,18.5
YKL207W,201.3
YKL195W,152.3
YKL191W,38.099999999999994
YKL190W,137.5
YKL187C,0.75
YKL186C,73.80000000000001
YKL185W,72.55000000000001
YKL184W,136.7
YKL183W,29.55
YKL179C,51.6
YKL175W,109.85
YKL173W,24.6
YKL172W,124.15
YKL171W,7.55
YKL168C,9.9
