# Created by: riboviz
# Date: 2025-11-20 22:00:12.657421
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit 45514cc565e3cdbb4e44ca919964ab8b8e1ee045 date 2025-10-13 22:13:08 GMT
ORF	OTTR_P1_2
YDR311W	26.4
YDR312W	45.3
YDR313C	18
YDR314C	4
YDR315C	10.3
YDR316W	23.2
YDR317W	3.9
YDR318W	12.8
YDR319C	40.9
YDR320C	31.3
YDR320C-A	94.3
YDR321W	251.5
YDR322C-A	125.3
YDR322W	65
YDR323C	13
YDR324C	68
YDR325W	21.2
YDR326C	36.8
YDR328C	171.1
YDR329C	39.1
YDR330W	28
YDR331W	79.5
YDR332W	7.6
YDR333C	39.7
YDR334W	12.5
YDR335W	51.3
YDR336W	9.8
YDR337W	62.4
YDR338C	14.3
YDR339C	113.2
YDR341C	408.5
YDR342C	166.3
YDR343C	169.1
YDR345C	893.8
YDR346C	240.3
YDR347W	72.5
YDR348C	36.8
YDR349C	38.8
YDR350C	8.2
YDR351W	23.9
YDR352W	47.1
YDR353W	542.1
YDR354W	62.1
YDR356W	28.1
YDR357C	47.3
YDR358W	37.4
YDR359C	13.2
YDR361C	153.2
YDR362C	15.3
YDR363W	9.4
YDR363W-A	344.5
YDR364C	13.3
YDR365C	57.4
YDR366C	48.6
YDR367W	98.3
YDR368W	225.2
YDR369C	9.6
YDR370C	19.1
YDR371W	26
YDR372C	154.9
YDR373W	144.6
YDR374C	0.3
YDR374W-A	33.3
YDR375C	28.3
YDR376W	30.3
YDR377W	296.3
YDR378C	241.4
YDR379C-A	26.4
YDR379W	12
YDR380W	8.5
YDR381C-A	23.8
YDR381W	461.3
YDR382W	2178.1
YDR383C	12.2
YDR384C	135.9
YDR385W	2754.7
YDR386W	11.5
YDR387C	9.7
YDR388W	159.5
YDR389W	29.3
YDR390C	51.2
YDR391C	32.9
YDR392W	25.3
YDR393W	19.5
YDR394W	212.6
YDR395W	130.2
YDR397C	87.4
YDR398W	60.8
YDR399W	280.3
YDR400W	58.1
YDR402C	0.4
YDR403W	1.3
YDR404C	122.5
YDR405W	32.2
YDR406W	67.6
YDR407C	25.1
YDR408C	87.6
YDR409W	12.2
YDR410C	75.1
