# Created by: riboviz
# Date: 2026-03-12 11:46:19.396859
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
ReadLen	Pos	Counts
27	18	84
28	18	127
29	18	1011
30	18	3386
31	18	5556
32	18	4242
33	18	1296
34	18	203
35	18	40
36	18	11
37	18	3
38	18	1
39	18	0
40	18	0
41	18	0
42	18	0
43	18	0
44	18	0
45	18	0
46	18	0
47	18	0
48	18	0
49	18	0
50	18	0
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	4
16	19	2
17	19	0
18	19	0
19	19	5
20	19	4
21	19	3
22	19	5
23	19	12
24	19	9
25	19	43
26	19	69
27	19	87
28	19	465
29	19	1785
30	19	3636
31	19	2485
32	19	873
33	19	300
34	19	197
35	19	57
36	19	3
37	19	0
38	19	0
39	19	0
40	19	0
41	19	0
42	19	0
43	19	0
44	19	0
45	19	0
46	19	0
47	19	0
48	19	0
49	19	0
50	19	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	2
16	20	2
17	20	2
18	20	5
19	20	0
20	20	4
21	20	7
22	20	5
23	20	15
24	20	23
25	20	22
26	20	53
27	20	90
28	20	165
29	20	408
30	20	858
31	20	1394
32	20	1839
33	20	1348
34	20	349
35	20	44
36	20	7
37	20	0
38	20	0
39	20	0
40	20	0
41	20	0
42	20	0
43	20	0
44	20	0
45	20	0
46	20	0
47	20	0
48	20	0
49	20	0
50	20	0
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	2
18	21	1
19	21	6
20	21	3
21	21	7
22	21	14
23	21	27
24	21	38
25	21	40
26	21	59
27	21	99
28	21	159
29	21	1575
30	21	4088
31	21	5850
32	21	4072
33	21	1388
34	21	181
35	21	43
36	21	14
37	21	6
38	21	0
39	21	0
40	21	0
41	21	0
42	21	0
43	21	0
44	21	0
45	21	0
46	21	0
47	21	0
48	21	0
49	21	0
50	21	0
10	22	0
11	22	0
12	22	0
13	22	0
14	22	0
15	22	4
16	22	0
17	22	0
18	22	1
19	22	4
20	22	1
21	22	8
22	22	13
23	22	18
24	22	23
25	22	46
26	22	57
27	22	88
28	22	367
29	22	1505
30	22	3202
31	22	3008
32	22	1262
33	22	430
34	22	174
35	22	29
36	22	4
37	22	2
38	22	0
39	22	0
40	22	0
41	22	0
42	22	0
43	22	0
44	22	0
45	22	0
46	22	0
47	22	0
48	22	0
49	22	0
50	22	0
10	23	0
11	23	0
12	23	0
13	23	0
14	23	0
15	23	0
16	23	0
17	23	6
18	23	0
19	23	2
20	23	4
21	23	6
22	23	5
23	23	14
24	23	16
25	23	32
26	23	33
27	23	65
28	23	239
29	23	453
30	23	1093
31	23	1695
32	23	1955
33	23	1524
34	23	459
35	23	36
36	23	9
37	23	0
38	23	0
39	23	0
40	23	0
41	23	0
42	23	0
43	23	0
44	23	0
45	23	0
46	23	0
47	23	0
48	23	0
49	23	0
50	23	0
10	24	0
11	24	0
